"ProteinID"	"Diff.AABvsND"	"ProteinName"	"GeneName"	"nlogP.AABvsND"	"6289"	"6289_SEM"	"6234"	"6234_SEM"	"6238"	"6238_SEM"	"6318"	"6318_SEM"	"6339"	"6339_SEM"	"6158"	"6158_SEM"	"6167"	"6167_SEM"	"6184"	"6184_SEM"	"6267"	"6267_SEM"	"6175"	"6175_SEM"	"6245"	"6245_SEM"	"6247"	"6247_SEM"	"6325"	"6325_SEM"	"nlogP.T1DvsND"	"Diff.T1DvsND"	"Group"
"A0A024QZX5;A0A087X1N8;P35237"	-0.304997353326705	"Serpin B6"	"SERPINB6"	1.35827307183092	23.323305	0.153245	23.0433733333333	0.0835318911820178	23.4251166666667	0.0870016176733387	22.8675166666667	0.0846214429746442	22.8263433333333	0.0514225062053998	22.8476566666667	0.140118103795017	22.9896766666667	0.189351673026086	22.501125	0.545375000000002	22.93231	0.46275	22.74069	0.0688200000000005	23.1344	0.125854338555861	22.7509266666667	0.692638277538218	23.2769833333333	0.0414969903861848	0.11101388101924	-0.050695328485396	"Below significance"
"A0A024R216;Q9Y3E1;H3BPQ6;H3BPM9"	0.119486430334664	"Hepatoma-derived growth factor-related protein 3"	"HDGFRP3"	0.467721420507443	20.574045	0.0229750000000006	20.5403333333333	0.233960212453124	20.7970033333333	0.0646593696054776	20.3873433333333	0.0358778521901425	20.56624	0.00897827563251057	20.74988	0.151264143911679	20.6552566666667	0.284083516143482	20.392095	0.0134249999999998	20.74156	0.49048	20.425355	0.0294050000000006	20.8613433333333	0.0360841517998008	19.8359433333333	0.287503266087728	19.7725833333333	0.424618557073417	1.35005937033437	-0.363634858812606	"Below significance"
"A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JZI8;C9J5E5;C9JIZ1;C9JT62;C9JHS7;C9JK79;C9JHZ8;C9JES8;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;A0A0E3D6N3;C9JHN6;H7BZC3;H7C2D1;C9JHS9;C9J739;H7C3D0"	-0.136500358581543	"Vigilin"	"HDLBP"	0.349299699660907	23.575305	0.201855	23.64256	0.0698214501424887	24.1215466666667	0.0301450008753986	24.36261	0.406233692472696	23.57415	0.0430796638024636	23.49613	0.0369339875092491	23.6563133333333	0.0357619547999143	24.327495	0.0326850000000007	23.667155	0.130924999999999	23.96114	0.0897800000000011	23.8141633333333	0.129632078120262	22.64425	1.17547712790736	23.72619	0.123684508461381	0.590130165841424	-0.352381865183514	"Below significance"
"A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4"	-0.048396125672355	"40S ribosomal protein S9"	"RPS9"	0.07719108162548	23.789025	0.254575000000001	25.2268133333333	0.119227403076827	25.3884333333333	0.103792858831638	25.2602666666667	0.105305318690199	25.10265	0.0446328963135194	25.4622733333333	0.0740524882168799	24.8946	0.0713189925615893	24.377035	0.543585	25.1383	0.0690600000000003	24.562625	0.048985	25.0964533333333	0.117094740179813	25.56076	0.535556223410142	25.3311033333333	0.0597642675666476	0.318609499327292	0.15485343478975	"Below significance"
"A0A024R6I7;A0A0G2JRN3;G3V2B9;G3V5R8;G3V387;A0A0B4J278;G3V544"	-1.0321498901125	""	"SERPINA1"	2.13032966956151	25.317245	0.158125	25.2380166666667	0.0633312775104929	25.0233333333333	0.0592858061521566	25.5283166666667	0.109973773590697	24.6451666666667	0.0794432053594122	24.56463	0.154006975274931	22.6794133333333	0.316633012615201	25.250685	0.985905000000001	25.58889	0.86525	25.234815	0.260425	26.3136033333333	0.0522180467952517	24.81655	0.186968302215465	25.5617733333333	0.178024984232864	1.40759634427	0.444797788347518	"Below significance"
"A0A024RA52;P25787;C9JCK5;H7C402;H3BT36"	0.059069149077882	"Proteasome subunit alpha type;Proteasome subunit alpha type-2"	"PSMA2"	0.041674323135914	18.95656	0.0359300000000005	21.3674266666667	1.47270590866307	21.4470766666667	0.44344764149158	21.0712833333333	0.286074788376125	21.5442333333333	0.0213679123401839	20.40132	0.247416366745074	21.4220766666667	0.130338490136687	21.503045	1.036415	21.214815	0.0288349999999991	19.92977	1.20531	21.4594333333333	0.380953515507834	20.6080566666667	0.077996432040903	20.7192433333333	0.669951012894061	0.196004582473049	-0.225897902534122	"Below significance"
"A0A075B6L0;A0A075B6K9;P0CG06;P0CG05;A0A075B6K8;A0A0B4J231;A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WU42;A0A087X2A1;A0A087WYR4;A0A087WX49;P0CG04;P0CF74;B9A064;A0A075B6L1;A0M8Q6"	0.039844346424889	"Ig lambda-3 chain C regions;Ig lambda-2 chain C regions;Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Immunoglobulin lambda-like polypeptide 5"	"IGLC3;IGLC2;IGLC1;IGLL5;IGLC6"	0.021174569177946	22.074175	0.946625000000001	19.7170033333333	0.254062619205931	20.31192	0.171952217296937	20.30696	0.936932653947621	21.79979	0.27671648378801	20.2955866666667	0.130511243108699	19.2917533333333	0.53031601322021	24.034835	0.366875	19.453165	0.859344999999999	21.66863	0.3025	21.17717	1.03099879471317	20.01789	0.726308428768385	23.2571866666667	0.164586590921348	0.416287565314983	0.520028795514786	"Below significance"
"A0A075B7D9;H3BPE7;P35637;Q92804"	-0.460928281148274	"RNA-binding protein FUS;TATA-binding protein-associated factor 2N"	"TAF15;FUS"	0.348280008273311	19.623945	0.0695350000000001	21.6387466666667	0.323323382819396	21.2457633333333	0.580036385707349	22.3587866666667	0.145210864416008	20.97298	1.01971023640706	22.42471	0.0957502508264775	19.2618833333333	0.263492465188496	20.14366	1.4972	22.36294	0.353340000000001	22.18994	0.0742800000000017	22.1870166666667	0.189190989420157	19.9057133333333	1.00490120082081	22.3554533333333	0.112316073105223	0.397670603495681	0.425052960713703	"Below significance"
"A0A087WT99;Q9H0W9;E9PJU8;E9PQS1;E9PPB5;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1"	0.411922924102296	"Ester hydrolase C11orf54"	"C11orf54"	0.771778356727955	20.02663	0.273569999999999	20.31827	0.103552602252833	20.6796566666667	0.065392678064478	19.20945	0.427819721884503	19.20726	0.246924282794004	20.8493733333333	0.0413007975440881	20.0453033333333	0.288187155469806	19.63658	0.179039999999999	20.80916	0.153730000000001	19.1578	0.358970000000001	21.06895	0.17551858961375	20.7581733333333	0.349963700276345	19.3580133333333	0.248728472591655	0.54597919722434	0.357788290296281	"Below significance"
"A0A087WTA8;P08123"	1.06390346042694	"Collagen alpha-2(I) chain"	"COL1A2"	2.02328519709726	26.940255	0.198625	27.4751466666667	0.0730122917353265	27.5263266666667	0.25917684029335	27.9465566666667	0.641908978602972	28.06426	0.0239975880732487	28.3725333333333	0.248009208453593	27.6637066666667	0.00495524077226393	30.561385	0.198635000000001	28.54938	0.52685	27.87318	0.251469999999999	28.2985433333333	0.377443541576456	29.5394533333333	0.304964998228394	28.5098533333333	0.257554510756677	2.70018698660851	0.930747054872061	"Below significance"
