ID	Col18	Gcg	HS	Ins	Sdc1	Col18_SEM	Gcg_SEM	HS_SEM	Ins_SEM	Sdc1_SEM
6012	41.2361	11.6808888888889	26.2492	32.4763	NA	2.74951058453035	1.71211387734939	1.26653635119127	2.36571978734216	NA
6046	11.1725	NA	5.799625	17.2153	2.8982	1.06590861865984	NA	1.43795153079327	1.52604099296913	0.539448768033938
6052	NA	27.00825	13.3342	44.2836	NA	NA	5.22584698677321	2.93300522331618	2.48220455643768	NA
6069	NA	30.543	10.69775	22.8295	NA	NA	5.23612468475357	2.57922188397697	3.68746352524333	NA
6070	26.9737	17.5537	12.3773333333333	29.4425	10.8012	3.08340175077246	1.07260688718861	1.3875536426067	3.70079301786943	1.63717163153748
6075	20.329	8.29277777777778	NA	19.5461	29.3795	1.46671868446079	0.935455990677182	NA	1.89776036099866	2.11230721276786
6084	13.8907142857143	25.2008333333333	5.65642857142857	29.1892857142857	11.9288333333333	2.16896411213461	6.21791898422973	1.93338597453551	5.565326998968	1.74910726594391
6094	35.0708	7.3013	24.7196	37.0825	17.495	1.91812485864016	0.821264148195397	1.1536674583451	2.01841121374654	1.1043668372018
6096	42.0475	NA	25.1864	52.8387	24.3945	1.93845584164303	NA	1.78543328821512	2.9722222626999	1.17091356783212
6102	30.3122	NA	21.8533	31.992	NA	2.41168216903564	NA	1.95157542086729	1.76802604933047	NA
6104	29.3648888888889	16.531875	15.1966	27.4985	NA	3.27607916250697	1.90567521252311	2.35615471195477	2.65481387190222	NA
6129	19.9726	12.4586	16.6944	28.06	NA	1.27719781988191	1.74157938026889	1.37422645069063	3.11587037242851	NA
6134	41.1114	13.3232	22.0397777777778	33.369	20.6689	2.70036836252637	2.14920929542833	1.49795365765895	2.49238288034207	1.91669236765377
6198	16.2103333333333	8.677	8.7986	24.4589	9.547875	1.90768100932345	1.05256913206581	1.29618511795191	3.41783148745907	2.29263029258582
6209	16.4996363636364	12.0123636363636	7.5582	35.0452727272727	15.426125	2.46835704752161	1.73991608090593	1.70111079918714	2.87266202831548	2.55651942127168
6212	28.367	12.0498	5.864	32.6036	NA	2.83836708337734	2.30015174282046	1.07705439355061	2.65094444679627	NA
